point1.x,point1.y,point2.x,point2.y
218.132,644.062,190.387,632.47
218.132,644.062,235.766,651.429
234.628,692.088,258.943,690.157
258.943,690.157,264.978,681.284
65.6671,1528.03,-1.11346e+06,7.45066e+06
114.955,1257.09,119.282,1233.3
114.955,1257.09,65.6671,1528.03
187.752,1025.84,206.131,970.145
187.752,1025.84,119.282,1233.3
239.373,993.086,217.048,963.766
239.373,993.086,243.319,998.268
212.039,260.577,218.711,260.047
212.039,260.577,206.425,261.023
241.864,291.53,218.711,260.047
236.469,313.628,241.864,291.53
211.454,617.495,218.285,616.319
211.454,617.495,187.63,621.594
234.34,648.566,218.285,616.319
234.34,648.566,235.766,651.429
191.97,843.699,197.168,841.732
191.97,843.699,190.045,844.427
231.297,854.379,197.168,841.732
237.492,876.472,231.297,854.379
239.111,907.007,237.492,876.472
229.495,914.987,239.111,907.007
243.888,736.172,264.3,716.255
264.3,716.255,258.943,690.157
219.624,738.773,243.888,736.172
219.624,738.773,211.431,739.651
233.385,747.44,243.888,736.172
190.392,169.531,219.277,149.178
190.392,169.531,177.458,178.645
236.748,194.604,239.336,165.352
239.336,165.352,224.024,147.898
224.333,784.491,223.14,784.476
224.333,784.491,232.531,784.598
241.852,788.08,232.531,784.598
241.852,788.08,242.38,788.277
240.836,814.458,243.939,789.788
243.939,789.788,242.38,788.277
227.054,587.15,216.885,585.668
227.054,587.15,239.084,588.904
262.975,600.721,257.383,594.467
262.975,600.721,263.672,601.501
206.566,765.016,217.127,751.053
206.566,765.016,199.932,773.787
219.87,750.443,233.385,747.44
219.87,750.443,217.127,751.053
232.531,784.598,233.385,747.44
250.786,336.699,239.921,327.995
263.802,350.982,250.786,336.699
262.418,365.554,263.802,350.982
188.608,539.29,197.504,535.59
188.608,539.29,173.313,545.652
230.968,578.497,197.504,535.59
230.968,578.497,239.084,588.904
241.901,83.6507,238.048,82.6865
241.901,83.6507,253.439,86.5378
227.647,142.279,234.569,137.154
234.569,137.154,254.432,94.8526
254.432,94.8526,254.495,94.469
254.495,94.469,253.588,86.8156
253.588,86.8156,253.439,86.5378
239.084,588.904,257.383,594.467
237.168,551.718,209.81,529.758
248.727,572.574,237.168,551.718
257.383,594.467,248.727,572.574
253.369,444.095,237.089,438.37
277.15,491.28,253.369,444.095
271.978,500.235,277.15,491.28
235.766,651.429,264.978,681.284
224.303,613.9,263.672,601.501
224.303,613.9,219.504,615.412
281.184,666.986,269.547,604.032
264.978,681.284,281.184,666.986
208.801,830.117,209.043,829.886
208.801,830.117,198.068,840.365
223.698,822.775,240.836,814.458
223.698,822.775,209.043,829.886
256.965,836.309,240.836,814.458
255.667,841.412,256.965,836.309
258.321,975.767,245.405,944.934
